code;code_source;date;nom_saisie;nom_retenu;status;niche;pays;region;ville;lieux dit;utm;utm1;utm10;latitude;longitude;altitude;mode_lecture;precision;precision.m;type_acquisition ;nom_observateur;orga_observateur;nom_bdd;auteur;annee_publication;titre_publication;revue;confidentialite;nom_fournisseur;organisation;Indigenat_population;nb.ind;surface_patch;abondance_rarete;description.hab;corinne;direct_hab;ordre.phyto;association;remarque.hab;comment
ls_1012;594349;07/09/06;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;SAINT-ETIENNE-LES-ORGUES;;;;;44,07636;5,78951;1073;GPS;point;10;export bdd;GARRAUD Luc;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1013;594351;07/09/06;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;SAINT-ETIENNE-LES-ORGUES;;;;;44,06936;5,78783;976;GPS;point;10;export bdd;GARRAUD Luc;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1014;594380;30/05/06;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;LES OMERGUES;;;;;44,17948;5,56841;1001;GPS;point;10;export bdd;GARRAUD Luc;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1015;594381;30/05/06;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;LES OMERGUES;;;;;44,14135;5,55889;1118;GPS;point;10;export bdd;GARRAUD Luc;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1016;594417;22/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;SAINT-ANDRE-LES-ALPES;;;;;43,9113;6,49137;1554;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1017;594421;22/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;SAINT-ANDRE-LES-ALPES;;;;;43,90761;6,48767;1648;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1018;594439;2004/6/;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;SAINT-JULIEN-DU-VERDON;;;;;43,91036;6,54929;872;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1019;594460;09/07/01;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;42;UBRAYE;;;;;43,88611;6,68313;1309;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_102;387854;18/07/91;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;40;CERESTE;;;;;43,83254;5,61186;704;GPS;point;10;export bdd;VARESE Paolo;Ass InternatIonale deÊPhytosociologie;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1020;594493;04/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;40;CASTELLANE;;;;;43,84659;6,53297;733;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1021;594506;09/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;40;CASTELLANE;;;;;43,87454;6,50047;931;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1022;594512;06/04/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;41;RIEZ;;;;;43,84081;6,09153;651;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1023;594515;2004/5/;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;40;CASTELLANE;;;;;43,87611;6,49395;984;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1024;594519;2004/5/;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;40;CASTELLANE;;;;;43,87997;6,50762;976;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1025;619617;14/06/06;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;26;TRESCHENU-CREYERS;;;;;44,75977;5,56765;1586;GPS;point;10;export bdd;BIRON Nicolas;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1026;620692;14/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;SIGOYER;;;;;44,50204;5,98052;1247;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1027;620695;14/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;SIGOYER;;;;;44,48914;5,97345;1173;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1028;620697;16/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;SIGOYER;;;;;44,48743;5,9517;1267;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1029;620707;10/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;LE SAIX;;;;;44,4845;5,80559;863;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_103;387857;07/08/91;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;40;CERESTE;;;;;43,83571;5,5792;456;GPS;point;10;export bdd;VARESE Paolo;Ass InternatIonale deÊPhytosociologie;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1030;620709;10/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;LE SAIX;;;;;44,48575;5,8059;863;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1031;620710;10/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;LE SAIX;;;;;44,49057;5,81019;900;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1032;620711;10/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;LE SAIX;;;;;44,49054;5,81095;900;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1033;620713;23/07/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;LE SAIX;;;;;44,47217;5,82882;874;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1034;620715;30/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;LE SAIX;;;;;44,46105;5,85656;1429;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1035;620716;30/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;LE SAIX;;;;;44,46114;5,85852;1310;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
ls_1036;620717;30/06/04;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978;na;0;;51;LE SAIX;;;;;44,4615;5,86511;1310;GPS;point;10;export bdd;VAN ES J_r_mie;CBN Alpin;pifh;;;;;usage restreint;Genis;CBN Alpin;;;;;;;;;;;
