code.pop;code_terrain;species;status;ls.short style;ls.long style;ls.number;lf.number;hy.short style;hy.long style;hy.number;com.comptage
li61;9EOV2016;Linum tenuifolium;pure;0;0;0;18;;;0;
li62;10EOV2016;Linum tenuifolium;pure;0;0;0;0;;;0;
li63;11EOV2016;Linum tenuifolium;pure;0;0;0;11;;;0;
li64;12EOV2016;Linum suffruticosum;pure;25;34;59;0;;;0;
li65;13EOV2016;Linum tenuifolium;pure;0;0;0;65;;;0;
li66;14EOV206;Linum suffruticosum;pure;12;23;35;0;;;0;
li67;15EOV2016;Linum suffruticosum;pure;23;17;40;0;;;0;
li68;17EOV2016;Linum suffruticosum;pure;37;36;73;0;;;0;
li69;18EOV2016;Linum suffruticosum;pure;27;33;60;0;;;0;
li7;G7;Linum tenuifolium;pure;;;0;60;;;;
li70;19EOV2016;Linum suffruticosum;pure;18;26;44;0;;;0;
li71;20EOV2016;Linum suffruticosum;pure;38;36;74;0;;;0;
li72;21EOV2016;Linum suffruticosum;pure;13;13;26;0;;;0;
li73;22EOV2016;Linum suffruticosum;pure;28;34;62;0;;;0;
li74;24EOV2016;Linum suffruticosum;pure;NA;NA;NA;0;;;0;
li75;25EOV2016;Linum suffruticosum;pure;33;28;61;0;;;0;
li76;26EOV2016;Linum tenuifolium;pure;0;0;0;50;;;0;
li77;27EOV2017;Linum suffruticosum;pure;32;29;61;0;;;0;
li78;29EOV2016;Linum suffruticosum;pure;27;25;52;0;;;0;
li79;30EOV2016;Linum tenuifolium;pure;0;0;0;NA;;;0;
li8;G8;Linum suffruticosum;mixed;58;60;118;;;;;
li80;31EOV2016;Linum suffruticosum;pure;29;35;64;0;;;0;
li81;32EOV2016;Linum tenuifolium;pure;0;0;0;50;;;0;
li82;33EOV2016;Linum suffruticosum;pure;38;35;73;0;;;0;
li83;Li_17_01;Linum tenuifolium;pure;;;;42;;;;
li84;Li_17_02;Linum tenuifolium;pure;;;;19;;;;
li85;Li_17_03;Linum suffruticosum;mixed;16;22;38;;;;;
li86;Li_17_04;Linum tenuifolium;mixed;;;;68;;;;
li87;Li_17_05;Linum suffruticosum;pure;62;53;115;;;;;
li88;Li_17_06;Linum suffruticosum;pure;77;79;156;;;;;
li89;Li_17_07;Linum tenuifolium;pure;;;;35;;;;
li9;G8';Linum tenuifolium;mixed;;;;125;;;;
li90;Li_17_08;Linum suffruticosum;pure;28;36;64;;;;;
li91;Li_17_09;Linum suffruticosum;pure;35;41;76;;;;;
li92;Li_17_10;Linum suffruticosum;pure;29;31;60;;;;;
li93;Li_17_11;Linum tenuifolium;pure;;;;37;;;;
li94;Li_17_12;Linum suffruticosum;pure;113;115;228;;;;;
li95;Li_17_13;Linum tenuifolium;pure;;;;101;;;;
li96;Li_17_14;Linum suffruticosum;mixed;64;63;127;;;;;
li97;Li_17_15;Linum tenuifolium;pure;;;;49;;;;
li98;Li_17_16;Linum suffruticosum;pure;79;77;156;;;;;
li99;Li_17_17;Linum tenuifolium;pure;;;;142;;;;
