code.pop;species;status;ca;mg;k;cond;p;mo;n;ph;cn;arcilla;arena;limo
li19;Linum tenuifolium;mixed;32,9;1,33;1,06;180;8,03;6,86;5160;7,9;8,06;48;8;44
li20;Linum tenuifolium;pure;29,8;1,29;0,86;166;10,7;9,59;7644;7,4;7,28;35;8;57
li23;Linum tenuifolium;mixed;24,6;5,19;0,91;235;8,74;7,67;4255;7,7;10,4;38;26;36
li27;Linum tenuifolium;mixed;41,3;1,21;1,14;171;6,21;8,73;4341;8,1;11,7;36;37;27
li30;Linum tenuifolium;mixed;49;1,5;1,92;152;5,84;8,45;5235;8,2;9,36;57;15;28
li32;Linum tenuifolium;pure;34,5;1,21;1,01;158;5,38;7,47;4284;8,2;10,1;38;39;23
li34;Linum tenuifolium;mixed;25,4;2,76;0,76;132;4,45;4,5;2798;8,3;9,33;21;52;27
li35;Linum tenuifolium;pure;58,6;2,08;0,65;248;16,2;11,1;8105;7,7;7,92;26;31;43
li36;Linum tenuifolium;pure;36,9;1,74;1,14;170;7,65;7;3787;8,1;10,1;25;41;34
li37;Linum tenuifolium;pure;24,2;1,88;0,5;159;7,34;4,95;2839;8;10,1;26;42;32
li38;Linum tenuifolium;pure;32,3;1,03;0,48;210;8,45;6,16;2142;8;16,7;21;22;57
li40;Linum tenuifolium;pure;36,5;0,91;0,78;202;4,76;4,44;1851;8;13,9;33;33;34
li43;Linum tenuifolium;mixed;34,9;0,75;0,74;197;8,98;8,48;4748;7,9;10,34;33;10;57
li45;Linum tenuifolium;pure;20,4;0,44;0,17;128;4,74;1,81;711;8,6;14,8;19;53;28
li47;Linum tenuifolium;pure;25,28;0,47;0,35;167;6,25;6,94;3711;8,1;10,8;33;31;36
li48;Linum tenuifolium;pure;25,4;0,54;0,41;161;4,43;3,89;2264;8,3;9,97;36;25;39
li51;Linum tenuifolium;pure;33,3;1,12;0,87;182;9,07;9,56;6461;7,8;8,58;30;40;30
li52;Linum tenuifolium;pure;22,8;0,74;0,33;142;8,26;4,87;4084;8,2;6,92;21;49;30
li56;Linum tenuifolium;pure;23,5;1,5;0,42;154;3,62;1,77;1130;8,4;9,09;25;48;27
li61;Linum tenuifolium;pure;19,5;0,93;0,19;141;4,27;2,8;2142;8,3;7,6;12;72;16
li62;Linum tenuifolium;pure;25,7;2,07;0,82;162;6,98;1,6;1542;8,4;6,03;23;50;27
li63;Linum tenuifolium;pure;23,6;0,6;0,38;179;10,4;8,52;4166;8,8;11,8;28;47;25
li65;Linum tenuifolium;pure;22,8;0,47;0,25;149;4,36;1,98;1683;8,3;6,81;20;59;21
li7;Linum tenuifolium;pure;28,3;0,72;0,43;55,7;10,2;6,82;2553;8,1;15,5;31;35;34
li76;Linum tenuifolium;pure;24,4;0,59;0,43;192;9,09;3,26;2435;8,1;7,76;22;58;20
li79;Linum tenuifolium;pure;23;0,48;0,31;149;5,25;2,23;1345;8,4;9,61;20;57;23
li81;Linum tenuifolium;pure;26,4;0,52;0,54;164;8,15;2,78;1702;8,4;9,46;50;21;29
li83;Linum tenuifolium;pure;31,8;0,48;0,36;253;7,09;5,61;3095;7,9;10,5;46;27;27
li84;Linum tenuifolium;pure;28,2;5,24;0,57;153;3,74;1,57;686;8,2;13,3;57;15;28
li86;Linum tenuifolium;mixed;33,5;1,7;0,49;179;3,99;2,34;917;8,2;14,8;54;31;15
li89;Linum tenuifolium;pure;48,5;0,81;0,53;222;6,49;5,5;3054;8,1;10,5;31;41;28
li9;Linum tenuifolium;mixed;33,3;1,13;0,52;234;11,8;10,3;5010;7,9;11,9;31;29;40
li93;Linum tenuifolium;pure;27,8;0,47;0,28;193;7,47;5,92;2361;8,1;14,5;15;58;27
li95;Linum tenuifolium;pure;27,1;0,24;0,26;175;4,64;3,8;1252;8,3;14,2;21;64;15
li97;Linum tenuifolium;pure;41,4;1,26;0,84;220;12,3;7,92;2989;8;15,3;35;39;26
li99;Linum tenuifolium;pure;25,8;0,54;0,28;162;3,94;1,17;970;8,2;6,98;20;54;26
