code.pop;code_terrain;date;species;status;niche.bi;com.nich;com.sol;sol.bi;person;country;region;town;locality;longitude;latitude;herbarium individual;flower ethanol;leaves phylogeny;flower cytometry;capsules;niche
li43;G36';20160707;Linum tenuifolium;mixed;1;complet;ok.sol;1;Papuga G._ Gauthier P.;France;Auvergne-Rhône-Alpes;Chamaloc;Prairie sortie village;5,3853;44,80467;y;y;y;y;;y
li44;G37;20160707;Linum suffruticosum;pure;1;complet;ok.sol;1;Papuga G._ Gauthier P.;France;Auvergne-Rhône-Alpes;Percy;Col de Menée;5,60397;44,7578;y;y;y;y;;y
li45;G38;20160707;Linum tenuifolium;pure;1;complet;ok.sol;1;Papuga G._ Gauthier P.;France;Auvergne-Rhône-Alpes;Chichiliannes;La Richardière;5,54322;44,82344;y;y;y;y;;y
li46;G39;20160707;Linum suffruticosum;pure;1;complet;ok.sol;1;Papuga G._ Gauthier P.;France;Auvergne-Rhône-Alpes;Saint Michel les Portes;;5,55651;44,86936;y;y;y;y;;y
li47;G40;20160707;Linum tenuifolium;pure;1;complet;ok.sol;1;Papuga G._ Gauthier P.;France;Auvergne-Rhône-Alpes;Lavars;;5,6732;44,8415;y;y;y;y;;y
li48;G41;20160707;Linum tenuifolium;pure;1;complet;ok.sol;1;Papuga G._ Gauthier P.;France;Auvergne-Rhône-Alpes;Lalley;Pâture à chevaux;5,67923;44,76458;y;y;y;y;;y
li49;G42;20160708;Linum suffruticosum;pure;1;complet;ok.sol;1;Papuga G._ Gauthier P.;France;Provence-Alpes-Côte d'Azur;Gap;;6,05137;44,62321;y;y;y;y;;y
li50;G43;20160708;Linum suffruticosum;pure;1;complet;ok.sol;1;Papuga G._ Gauthier P.;France;Provence-Alpes-Côte d'Azur;Chorges;Clôt Chaud;6,28205;44,57872;y;y;y;y;;y
li51;G44;20160708;Linum tenuifolium;pure;1;complet;ok.sol;1;Papuga G._ Gauthier P.;France;Provence-Alpes-Côte d'Azur;Chorges;Les Chaix;6,26926;44,56862;y;y;y;y;;y
li52;G45;20160708;Linum tenuifolium;pure;1;complet;ok.sol;1;Papuga G._ Gauthier P.;France;Provence-Alpes-Côte d'Azur;Jarjayes;;6,11589;44,49387;y;y;y;y;;y
li53;G46;20160708;Linum suffruticosum;pure;1;complet;ok.sol;1;Papuga G._ Gauthier P.;France;Provence-Alpes-Côte d'Azur;Saint Geniez;Chabert;6,07887;44,24136;y;y;y;y;;y
li54;1EOV2016;20160608;Linum tenuifolium;pure;1;complet;abs.sol;0;Olmedo E._Afonso A.;France;Mid-Pyrinne;Le Mas-d'Azil;436-590 Avenue de la Grotte09290;1,35868;43,07347;;;;;;y
li55;2EOV2016;20160610;Linum tenuifolium;pure;1;complet;abs.sol;0;Olmedo E._Afonso A.;France;Languedoc-Roussillon;Brenac;D2 Road 11500 ;2,13888;42,88584;;;;;;y
li56;4EOV2016;20160611;Linum tenuifolium;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Languedoc-Roussillon;Ladern-sur-Lauquet;D110 Road;2,36403;43,10291;;;;;;y
li57;5EOV2016;20160611;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Languedoc-Roussillon; Pardailhan;D176 E934360;2,81627;43,43327;;;;;;y
li58;6EOV2016;20160614;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;Italy;Savona;Finale Ligure;Strada Provinciale;8,39293;44,20705;;;;;;y
li59;7EOV2016;20160614;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;Italy;Piamonte;Bosio;Strada Provinciale 167, Parque Natural Capane de Macarolo;8,78095;44,52765;;;;;;y
li60;8EOV2016;20160615;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;Italy;Piamonte;Mompatero;Carretera de Montaña;7,05659;45,15207;;;;;;y
li61;9EOV2016;20160615;Linum tenuifolium;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;Italy;Piamonte;Bussoleno;Reserva Naturale, Orrido di Foresti, Sendero Orridi;7,12545;45,14622;;;;;;y
li62;10EOV2016;20160617;Linum tenuifolium;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;Italy;Emilia-Romaña;Casina;Via Cartogno 5;10,46036;44,55151;;;;;;y
li63;11EOV2016;20160619;Linum tenuifolium;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Sospel;D2204, arcen;7,47632;43,88807;;;;;;y
li64;12EOV2016;20160619;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Lucéram;Parc Communale de Porousac;7,39935;43,87132;;;;;;y
li65;13EOV2016;20160619;Linum tenuifolium;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Sospel;Carretera D 2204;7,42142;43,86265;;;;;;y
li66;14EOV206;20160619;Linum suffruticosum;pure;1;complet;ok.sol;1;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Aspremont;33 Chemin de la Bergerie;7,25274;43,78105;;;;;;y
