"code.pop";"sp.name";"date";"x";"y";"precision";"source"
"43";"ls_1036";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"30/06/04";5.86511;44.4615;10;"CBN Alpin"
"44";"ls_1037";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"30/06/04";5.86677;44.4615;10;"CBN Alpin"
"45";"ls_1038";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"30/06/04";5.86791;44.45883;10;"CBN Alpin"
"46";"ls_1039";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"30/06/04";5.86003;44.45709;10;"CBN Alpin"
"47";"ls_104";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"24/07/91";5.63319;43.84386;10;"CBN Alpin"
"48";"ls_1040";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"29/06/04";5.85626;44.47493;10;"CBN Alpin"
"49";"ls_1041";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"29/06/04";5.8655;44.4811;10;"CBN Alpin"
"50";"ls_1042";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"29/06/04";5.86439;44.48207;10;"CBN Alpin"
"51";"ls_1043";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"29/06/04";5.86337;44.48176;10;"CBN Alpin"
"52";"ls_1044";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"29/06/04";5.86072;44.48091;10;"CBN Alpin"
"53";"ls_1045";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"29/06/04";5.86014;44.48143;10;"CBN Alpin"
"54";"ls_1046";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"20/05/04";6.23455;44.39763;10;"CBN Alpin"
"55";"ls_1047";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"03/06/04";5.79314;44.50984;10;"CBN Alpin"
"56";"ls_1048";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"03/06/04";5.81165;44.511;10;"CBN Alpin"
"57";"ls_1049";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"2004/7/";6.54644;43.78606;10;"CBN Alpin"
"58";"ls_105";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"19/07/91";5.6127;43.83531;10;"CBN Alpin"
"59";"ls_1050";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"2004/7/";6.49542;43.8029;10;"CBN Alpin"
"60";"ls_1051";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"2004/7/";6.48351;43.80427;10;"CBN Alpin"
"61";"ls_1052";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"2004/7/";6.38805;43.80728;10;"CBN Alpin"
"62";"ls_1053";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"2004/7/";6.31578;43.80521;10;"CBN Alpin"
"63";"ls_1054";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"2004/7/";6.30924;43.80737;10;"CBN Alpin"
"64";"ls_1055";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"2004/7/";6.24647;43.81139;10;"CBN Alpin"
"65";"ls_1056";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"2004/7/";6.24327;43.81153;10;"CBN Alpin"
"66";"ls_1057";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"19/05/05";6.23469;43.81184;10;"CBN Alpin"
"67";"ls_1058";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"06/06/05";6.22957;43.81196;10;"CBN Alpin"
"68";"ls_1059";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"24/04/07";4.98714;44.67689;10;"CBN Alpin"
"69";"ls_106";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"06/09/91";5.67516;43.84171;10;"CBN Alpin"
"70";"ls_1060";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"02/05/06";5.77765;43.97025;10;"CBN Alpin"
"71";"ls_1061";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"02/05/06";5.77761;43.97246;10;"CBN Alpin"
"72";"ls_1062";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"02/05/06";5.74832;43.96867;10;"CBN Alpin"
"73";"ls_1063";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"02/05/06";5.74699;43.96987;10;"CBN Alpin"
"74";"ls_1064";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"23/05/07";5.01781;44.55749;10;"CBN Alpin"
"75";"ls_1065";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"24/05/07";5.27153;44.4215;10;"CBN Alpin"
"76";"ls_1066";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"25/05/07";5.57961;44.19521;10;"CBN Alpin"
"77";"ls_1067";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"29/05/07";4.88959;44.71209;10;"CBN Alpin"
"78";"ls_1068";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"22/06/07";5.59056;44.47215;10;"CBN Alpin"
"79";"ls_1069";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"22/06/07";5.60288;44.46832;10;"CBN Alpin"
"80";"ls_107";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"23/07/91";5.62739;43.83541;10;"CBN Alpin"
"81";"ls_1070";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"22/06/07";6.918;43.91947;10;"CBN Alpin"
"82";"ls_1071";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"22/06/07";6.91693;43.92288;10;"CBN Alpin"
"83";"ls_1072";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"22/06/07";6.89876;43.92555;10;"CBN Alpin"
"84";"ls_1073";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"25/06/07";6.36549;44.16937;10;"CBN Alpin"
"85";"ls_1074";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"25/06/07";6.36555;44.17004;10;"CBN Alpin"
"86";"ls_1075";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"25/06/07";6.37087;44.24896;10;"CBN Alpin"
"87";"ls_1076";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"28/06/07";5.08723;44.46561;10;"CBN Alpin"
"88";"ls_1077";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"28/06/07";5.10111;44.45818;10;"CBN Alpin"
"89";"ls_1078";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"28/06/07";5.10119;44.45568;10;"CBN Alpin"
"90";"ls_1079";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"28/06/07";5.10235;44.44784;10;"CBN Alpin"
"91";"ls_108";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"23/07/91";5.62846;43.83742;10;"CBN Alpin"
"92";"ls_1080";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"29/06/07";5.55753;44.27124;10;"CBN Alpin"
