"code.pop";"code_terrain";"date";"species";"status";"niche.bi";"com.nich";"com.sol";"sol.bi";"person";"country";"region";"town";"locality";"longitude";"latitude";"herbarium.individual";"flower.ethanol";"leaves.phylogeny";"flower.cytometry";"capsules";"niche"
"115";"li115";"16EOV’";20160620;NA;"mixed";0;"dbl.pb.esp";"dbl.pb.esp";0;"Olmedo E._Afonso A.";"France";"Provence-Alpes-Côte d'Azur";"La Penne";"Carretera D 27";6.94795;43.93502;"";"";"";"";NA;""
"116";"li116";"23EOV2016";20160623;"Mixed";"mixed";0;"dbl.pb.esp";"mixed.sample";0;"Olmedo E._Afonso A.";"France";"Provence-Alpes-Côte d'Azur";"Ribiers";"Población en bosque junto cultivo de melocotón";5.82559;44.2134;"";"";"";"";NA;"y"
"117";"li117";"23EOV2016’";20160623;NA;"mixed";0;"dbl.pb.esp";"dbl.pb.esp";0;"Olmedo E._Afonso A.";"France";"Provence-Alpes-Côte d'Azur";"Ribiers";"Población en bosque junto cultivo de melocotón";5.82559;44.2134;"";"";"";"";NA;""
"118";"li118";"91JAM2016";2016;"Linum suffruticosum";"mixed";0;"dbl.pb.esp";"dbl.pb.esp";0;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"119";"li119";"91JAM2016’";2016;"Linum tenuifolium";"mixed";0;"dbl.pb.esp";"dbl.pb.esp";0;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"120";"li120";"92JAM2016";2016;"Linum tenuifolium";"pure";0;"abs.hab";"ok.sol";1;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"121";"li121";"93JAM2016";2016;"Linum tenuifolium";"pure";0;"abs.hab";"ok.sol";1;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"122";"li122";"94JAM2016";2016;"Linum tenuifolium";"pure";0;"abs.hab";"ok.sol";1;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"123";"li123";"95JAM2016";2016;"Linum suffruticosum";"mixed";0;"dbl.pb.esp";"dbl.pb.esp";0;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"124";"li124";"95JAM2016’";2016;"Linum tenuifolium";"mixed";0;"dbl.pb.esp";"dbl.pb.esp";0;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"125";"li125";"96JAM2016";2016;"Linum tenuifolium";"pure";0;"abs.hab";"ok.sol";1;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"126";"li126";"97JAM2016";2016;"Linum suffruticosum";"pure";0;"abs.hab";"ok.sol";1;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"127";"li127";"98JAM2016";2016;"Linum tenuifolium";"pure";0;"abs.hab";"ok.sol";1;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"128";"li128";"99JAM2016";2016;"Linum tenuifolium";"pure";0;"abs.hab";"ok.sol";1;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"129";"li129";"100JAM2016";2016;"Linum suffruticosum";"pure";0;"abs.hab";"ok.sol";1;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"130";"li130";"101JAM2016";2016;"Linum tenuifolium";"pure";0;"abs.hab";"ok.sol";1;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"131";"li131";"102JAM2016";2016;"Linum tenuifolium";"pure";0;"abs.hab";"ok.sol";1;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"132";"li132";"103JAM2016";2016;"Linum tenuifolium";"pure";0;"abs.hab";"ok.sol";1;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"133";"li133";"104JAM2016";2016;"Linum suffruticosum";"hybrid";0;"abs.hab";"ok.sol";1;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"134";"li134";"105JAM2016";2016;"Linum tenuifolium";"pure";0;"abs.hab";"ok.sol";1;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"135";"li135";"106JAM2016";2016;"Linum suffruticosum";"pure";0;"abs.hab";"ok.sol";1;"Arroyo J.";NA;NA;NA;NA;NA;NA;"";"";"";"";NA;""
"136";"li136";"G28";20160625;"Linum suffruticosum";"mixed";0;"abs.hab";"abs.sol";0;"Gauthier P._Pons V.";"France";"Languedoc-Roussillon";NA;NA;3.07511;43.98292;"y";"y";"y";"y";NA;"n"
"137";"li137";"G28'";20160625;"Linum tenuifolium";"mixed";0;"abs.hab";"abs.sol";0;"Gauthier P._Pons V.";"France";"Languedoc-Roussillon";NA;NA;3.07382;43.98165;"y";"y";"y";"y";NA;"n"
"138";"li138";"28EOV2016";20160624;"Linum tenuifolium";"mixed";0;"dbl + douteux comptage";"mixed.sample";0;"Olmedo E._Afonso A.";"France";"Provence-Alpes-Côte d'Azur";"La Roche-des-Arnauds";"Carretera D503";6.00013;44.56893;"";"";"";"";NA;"y"
"139";"li139";"28EOV2016’";20160624;"Linum suffruticosum";"mixed";0;"dbl + douteux comptage";"dbl.pb.esp";0;"Olmedo E._Afonso A.";"France";"Provence-Alpes-Côte d'Azur";"La Roche-des-Arnauds";"Carretera D503";5.99975;44.56877;"";"";"";"";NA;""
